sub_id,kid_age,kid_gender,kid_gender_code,kid_race,race_id,race_talk,race_convo_topic,race_convo_freq,rac_ineq_talk,rac_ineq_convo_topic,rac_ineq_convo_freq,raceid_talk,raceid_convo_topic,raceid_convo_freq,child_bias_target,child_become_bias,age,race,gender,gender_code,status_1,education,pol_views,time,race_colorblindness_code,race_focus_code,race_preparation_code,race_antibias_code,race_pride_code,race_racism_code,race_advantage_code,race_acknowledgement_code,race_no_code,rac_ineq_colorblindness_code,rac_ineq_focus_code,rac_ineq_preparation_code,rac_ineq_antibias_code,rac_ineq_pride_code,rac_ineq_racism_code,rac_ineq_advantage_code,rac_ineq_acknowledgement_code,rac_ineq_no_code,raceid_colorblindness_code,raceid_focus_code,raceid_preparation_code,raceid_antibias_code,raceid_pride_code,raceid_racism_code,raceid_advantage_code,raceid_acknowledgement_code,raceid_no_code
15,10,Female,0,White/European American,0,1,"She wanted to know what people are different colors and I explained to her that is only ""skin deep"", that on the inside we are all the same.",2,1,"She wanted to know why a lot of black people walk around with ""chips"" on their shoulder and feel that they are ""owed"" and I explained to her the truth about how they were sold into slavery in Africa by their own people unlike the American Indian who was forced off of their own land and placed on reservations.",2,1,"She came home and said that she was made to feel that she should be ashamed to be white and should give what she has to black kids because it is our fault that they don't have some of the things she has. I explained to her that everyone has the same advantages and everyone can have things if they work hard and set goals. I explained that we also go without a lot of things, we wait to buy things and buy them on sale because we prioritize but we don't begrudge others for what we don't have.",2,5,5,59,White/European American,Female,0,4,5,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
17,13,Female,0,White/European American,0,1,Why her daddy is mixed and she is white,5,0,NA,NA,0,NA,NA,1,1,46,White/European American,Female,0,4,3,4,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,5,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,3,3,34,White/European American,Female,0,7,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,14,Male,1,White/European American,0,1,Different colored skinned people in the history of the americas,2,1,Talking about Martin Luther King day and people being treated equally.,2,0,NA,NA,1,1,41,White/European American,Female,0,8,6,6,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,7,Female,0,White/European American,0,1,It is more clear than earlier.,2,1,It talk about what about it.,4,1,It talk about that what it is,4,5,4,41,White/European American,Male,1,10,8,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
25,13,Female,0,White/European American,0,1,He was debating on whether to have her first little boyfriend or not and he was a mix of black and white and it didn't bother me and she didn't bother her but we discussed that it may bother other people were from a very small town and things of that nature. Not that any of that would matter to us because we just don't care about stuff like that we're not racist in any way shape or form so but she was too young for boyfriend at the time so I told her that didn't really apply because it wasn't happening.,2,1,"She had noticed a kid at school getting made fun of because he was a different color and she did not like that she thought I was wrong and she knew that I did too and she asked me why people did that to people that are different colors, I replied because they don't know Jesus probably ain't they do know who Jesus is they need to start listening to what he's saying to them and what the world says should be irrelevant it's what you yourself think that matters don't follow the crowd, she saw that it was a very wrong to get made fun of because of what color you were even at a young age and I agreed with her completely she had the right idea and it's what I've told her since she was younger.",2,0,NA,NA,1,1,37,White/European American,Female,0,5,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,3,Male,1,White/European American,0,1,He started school and I wanted to address why certain children look different and how to potentially be able to identify where the persons family  came from,2,0,NA,NA,0,NA,NA,2,2,29,White/European American,Female,0,7,8,6,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,4,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,4,1,34,White/European American,Female,0,8,5,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,3,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,2,1,33,White/European American,Female,0,6,4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,17,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,2,2,48,White/European American,Female,0,3,5,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,17,Male,1,White/European American,0,1,How people are all different but we are all really the same just have different skin colors,3,1,"honestly, the minorities bring this up and then the whites have to address it",2,0,NA,NA,1,1,41,White/European American,Male,1,3,4,2.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,15,Male,1,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,1,1,36,White/European American,Male,1,5,3,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,10,Female,0,White/European American,0,1,We were talking about a new student who came to my daughter's school who is of a different race.,2,0,NA,NA,0,NA,NA,3,1,43,White/European American,Female,0,6,7,7,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,14,Male,1,White/European American,0,1,The coronavirus and how it’s affecting the black minority people,3,1,Can’t recall,3,0,NA,NA,3,2,53,White/European American,Female,0,7,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,15,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,1,1,43,White/European American,Female,0,7,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,14,Male,1,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,1,1,52,White/European American,Female,0,5,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,17,Female,0,White/European American,0,1,how we can't let it become a problem,2,1,that some groups get special consideration because of their race,2,1,don't know,2,1,1,60,White/European American,Female,0,6,6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
43,16,Male,1,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,2,1,50,White/European American,Female,0,6,6,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,15,Female,0,White/European American,0,1,How some people are racust fir no reasin.,3,1,Explained why we are all equal,4,1,How we ate all birn certsin way,3,1,1,32,White/European American,Female,0,4,3,4.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,14,Female,0,White/European American,0,1,We talked about the way the world is divided (race),2,1,He saw a video of a black suffering from social discrimination,2,1,I was trying to differentiate certain things to him,2,2,3,41,White/European American,Male,1,6,8,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
49,15,Female,0,White/European American,0,1,talked about equality,3,1,talking about cultural diferneces,3,1,cultural differences between races,3,1,1,50,White/European American,Male,1,7,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,10,Male,1,White/European American,0,1,"Regardless of its innumerable interpretations, race plays a major role in modern society. No matter how many times you ask people what race means to themselves",3,0,NA,NA,0,NA,NA,3,3,30,White/European American,Female,0,7,6,2,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,16,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,4,1,54,White/European American,Male,1,5,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,15,Male,1,White/European American,0,1,I cited different races,3,1,Just about it,4,1,Cited example,4,3,4,35,White/European American,Male,1,8,8,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
53,9,Female,0,White/European American,0,1,How people are different,3,1,Unsure,2,1,Unsure,2,5,1,27,White/European American,Female,0,7,3,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
54,15,Male,1,White/European American,0,1,Not to judge a book by its cover,2,1,That all humans are the same,2,1,That it’s just a lack of pigment,2,1,1,35,White/European American,Female,0,7,8,6.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,3,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,3,1,32,White/European American,Female,0,5,6,6.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,14,Male,1,White/European American,0,1,That all people are equal regardless of color,2,1,Just that it really shouldn’t exist,2,1,It’s just a skin color,2,1,1,43,White/European American,Female,0,6,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
58,15,Male,1,White/European American,0,0,NA,NA,1,Idk,2,0,NA,NA,2,2,42,White/European American,Female,0,2,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,17,Female,0,White/European American,0,1,We discuss the different races found in the world and why some are being discriminated.,3,1,I told him that racial inequality is not called for.,4,1,I told him is white and should act like a white man.,4,2,1,40,White/European American,Male,1,8,8,5.5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,15,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,1,1,47,White/European American,Male,1,5,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,9,Female,0,White/European American,0,1,We talked how people of all races must be united,4,1,About Africans in particular,4,1,About our way of life,5,2,1,35,White/European American,Female,0,5,8,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
64,3,Female,0,White/European American,0,1,That everyone is the same regardless of their race.,2,0,NA,NA,1,That we are white,2,1,1,37,White/European American,Female,0,7,5,5,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0
65,16,Female,0,White/European American,0,1,"I just told her we have different races, that a race is simply one's identity",3,1,Racial inequality means having different races and also it could mean racism,3,1,I just told her that being white doesn't mean we shouldn't associate with other,3,2,1,35,White/European American,Male,1,10,8,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
67,11,Female,0,White/European American,0,1,She referred to another child by their race instead of just saying she was a little girl. She kept calling her the little brown girl.,2,0,NA,NA,1,She wanted to know why she couldn't be brown.,3,3,5,32,White/European American,Female,0,4,3,4,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
68,15,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,2,2,45,White/European American,Female,0,5,6,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,17,Male,1,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,1,1,50,White/European American,Female,0,5,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,15,Female,0,White/European American,0,1,Talk about the African-Americans and President Barack Obama,3,0,NA,NA,1,Try to make her understand we are equal with other races,3,3,3,40,White/European American,Female,0,7,8,6,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0
73,4,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,3,3,40,White/European American,Male,1,9,6,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,17,Male,1,White/European American,0,1,"I told him that race is a situation in which number of people, groups, organization are competing especially for political power to achieve first",4,1,I told him to know  the  Important of tge race he belongs to between his friends race,4,1,To know what he belongs to,4,3,3,32,White/European American,Female,0,5,6,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
75,10,Male,1,White/European American,0,1,I explained what race means to him and told him what race he is,3,1,To be doing good to all race,4,1,White owns United States,4,1,1,40,White/European American,Male,1,10,8,5.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76,12,Female,0,White/European American,0,1,That color doesmatter when it comes to equality,2,1,Equal rights,2,0,NA,NA,2,2,31,White/European American,Female,0,5,4,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,7,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,1,1,33,White/European American,Female,0,6,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,17,Male,1,White/European American,0,1,I told him all persons are equal,3,1,I told him not to abuse anyone who doesn't share the same race with him,3,0,NA,NA,2,2,40,White/European American,Male,1,7,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,5,Male,1,White/European American,0,0,NA,NA,0,NA,NA,1,Asked them what skin color they were,1,1,1,24,White/European American,Female,0,4,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
80,15,Male,1,White/European American,0,1,I explained him that are people with different tips of skin,1,0,NA,NA,0,NA,NA,1,1,34,White/European American,Male,1,8,6,6,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,13,Female,0,White/European American,0,1,"Who she was, and a part of her, acceptance",4,1,Talk about racism,3,1,Racism,3,5,5,46,White/European American,Female,0,7,8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
82,15,Male,1,White/European American,0,1,"I actually told him people all over the world are separated by their race, and I told him types and classes of races we have all ovet the whole wide world.",4,1,"I told him there's racial inequality, but we're all the same humans.",4,1,I just told him people from this particular countries are white,4,1,1,45,White/European American,Male,1,10,9,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83,2,Male,1,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,3,4,38,White/European American,Male,1,7,4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,16,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,1,1,51,White/European American,Male,1,7,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,12,Female,0,White/European American,0,1,What race she is even if her skin is a little darker,3,1,That all people should be equal.,3,1,That we should not have to fight for our rights cause we are white and were born in the United States.,3,1,2,41,White/European American,Female,0,3,2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,15,Male,1,White/European American,0,1,Racism in football,4,1,Say no to racism,4,1,White is not superior to any race,4,3,4,35,White/European American,Male,1,8,8,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,6,Male,1,White/European American,0,1,How racism is wrong,2,1,How racism affects lower minorities,2,0,NA,NA,1,1,30,White/European American,Female,0,7,6,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,11,Male,1,White/European American,0,1,"I told him his family history from our down predecessor, how they lived, where they are from and we also talked about Usain bolt",4,1,He said that blacks should not be given the same freedom as whites on our land,3,1,His both parents are whites,3,3,1,39,White/European American,Male,1,8,8,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,14,Female,0,White/European American,0,1,"She asked me what is the race , and what is it",3,0,NA,NA,1,Being white is not just the color but heart and mind too,4,4,4,35,White/European American,Female,0,9,8,6,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0
93,17,Female,0,White/European American,0,1,Different races have different experiences.,2,1,That it is an ongoing issue in society.,2,1,Experiences in comparison to other cultures.,2,3,1,50,White/European American,Female,0,7,6,3.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
94,1,Male,1,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,2,2,40,White/European American,Female,0,6,7,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,17,Male,1,White/European American,0,1,that we are different but all the same,2,0,NA,NA,1,that many races like white people,2,3,3,39,White/European American,Female,0,6,6,2,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0
96,16,Female,0,White/European American,0,1,Why all the black girls at her private school only sat with each other at lunch,2,1,Starting to think about colleges and programs and why they ask about race,2,1,College scandal. To not take advantage of programs meant to even out the world,2,2,1,47,White/European American,Female,0,9,9,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
97,1,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,1,1,30,White/European American,Male,1,3,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,16,Male,1,White/European American,0,1,"Even though we are one in this world, we all come from different races",4,1,Race inequality is not good,3,1,The advantages,5,1,1,40,White/European American,Male,1,7,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,15,Male,1,White/European American,0,1,I have to let him know he can not settle for lesser things in life and he need to stay focus in achieving what ever he wanted with all his energy,4,1,I just give a tips about the rich and the poor and ask him to give more effort to achievement more in life,3,0,NA,NA,5,3,45,White/European American,Male,1,7,9,6.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,17,Male,1,White/European American,0,1,How their behave and impact and also previdges given to each races and how their respond,3,1,I thold him about the difference and inequality hw and why their arent the same,3,1,It shows proper understanding,3,5,2,45,White/European American,Male,1,9,9,6.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
102,6,Female,0,White/European American,0,0,NA,NA,0,NA,NA,0,NA,NA,1,1,34,White/European American,Female,0,5,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,16,Male,1,White/European American,0,1,Everything,5,0,NA,NA,0,NA,NA,5,5,39,White/European American,Female,0,10,6,4,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,16,Male,1,White/European American,0,1,It was during African American history month,2,1,Because of a person's race they may be looked over when it comes to jobs or be advanced in their job,2,1,That he should be proud of being white. And standing up for himself if others say differently,2,3,1,59,White/European American,Male,1,5,3,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
106,15,Female,0,White/European American,0,1,That we are all the same color doesn't mean a thing it's just how God made us,4,0,NA,NA,1,We are all equal the same no,2,1,1,41,White/European American,Female,0,7,7,4.5,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0
109,13,Female,0,White/European American,0,1,We talked the importance of respecting people from different races,3,1,How some races are discriminated and how they can overcome that descrimination,2,1,Why white people are considered superior than the blackpeople,2,5,5,31,White/European American,Male,1,7,6,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
110,15,Male,1,White/European American,0,1,About his schoolmatws who are blacks,4,1,Why he should not partake in racial squabbles,3,1,.........to understand his just white due to his skin colour and nothing more,3,1,1,40,White/European American,Male,1,5,8,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
111,12,Male,1,White/European American,0,1,I explained we all beeld red and the exterion is different for different people.,1,0,NA,NA,1,The differences in exterior looks.,1,1,1,41,White/European American,Female,0,5,6,5.5,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
112,13,Male,1,White/European American,0,1,"Race is simply your colour,since you are white by race,do not discriminate other races",3,1,I told him to not be a party to racial inequality,4,1,"Me: why do you think your skin colour differs from that of Alicia?
My oldest child: I don't know dad
Me: This is because you are white and your skin colour is white ,while hers is black
",4,4,4,35,White/European American,Male,1,9,9,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,9,Female,0,White/European American,0,1,She was curious why I said non-whites in conversation and I explained the delineation.,2,0,NA,NA,0,NA,NA,2,1,50,White/European American,Male,1,5,9,2,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,15,Male,1,White/European American,0,1,He asked about a black history given to them as an assignment from school and I explained in details how race started,4,1,He said he like a girl in his class that she is black and I told him not to look at the color but the heart,5,1,Nothing just looking at the conversation in general to race,4,2,4,35,White/European American,Male,1,8,9,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
